::1 - - [03/Feb/2023:18:38:35 +0000] "GET /api/fund HTTP/1.1" 201 1162 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:39:44 +0000] "PATCH /api/fund HTTP/1.1" 201 567 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:39:48 +0000] "PATCH /api/fund HTTP/1.1" 400 1083 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:39:53 +0000] "PATCH /api/fund HTTP/1.1" 500 54 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:39:59 +0000] "PATCH /api/fund HTTP/1.1" 201 567 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:40:06 +0000] "GET /api/invest HTTP/1.1" 201 320 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:40:19 +0000] "POST /api/invest HTTP/1.1" 201 279 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:40:23 +0000] "POST /api/invest HTTP/1.1" 500 90 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:40:38 +0000] "GET /api/invest HTTP/1.1" 201 572 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:40:59 +0000] "PATCH /api/invest HTTP/1.1" 500 53 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:41:10 +0000] "GET /api/invest HTTP/1.1" 201 572 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:41:19 +0000] "PATCH /api/invest HTTP/1.1" 201 278 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:21:38:35 +0000] "POST /api/user/sign-up HTTP/1.1" 201 246 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:21:39:09 +0000] "GET /api/fund HTTP/1.1" 201 1185 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:21:39:32 +0000] "POST /api/user/register-fund HTTP/1.1" 201 120 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:21:47:16 +0000] "POST /api/user/register-fund HTTP/1.1" 201 120 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:21:48:15 +0000] "POST /api/user/login HTTP/1.1" 201 488 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:21:48:52 +0000] "POST /api/user/register-fund HTTP/1.1" 201 120 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:21:52:52 +0000] "POST /api/user/buy HTTP/1.1" 500 248 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:21:53:45 +0000] "POST /api/user/buy HTTP/1.1" 500 248 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:21:54:58 +0000] "POST /api/user/buy HTTP/1.1" 500 248 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:21:58:03 +0000] "POST /api/user/buy HTTP/1.1" 500 51 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:21:58:22 +0000] "POST /api/user/buy HTTP/1.1" 500 46 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:21:58:31 +0000] "POST /api/user/buy HTTP/1.1" 201 120 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:22:06:36 +0000] "POST /api/user/buy HTTP/1.1" 201 120 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:22:06:50 +0000] "POST /api/user/buy HTTP/1.1" 201 120 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:22:08:17 +0000] "POST /api/user/buy HTTP/1.1" 201 120 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:22:08:35 +0000] "POST /api/user/buy HTTP/1.1" 201 120 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:22:09:37 +0000] "POST /api/user/buy HTTP/1.1" 500 104 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:22:10:01 +0000] "POST /api/user/buy HTTP/1.1" 200 561 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:22:10:18 +0000] "POST /api/user/buy HTTP/1.1" 200 2 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:22:10:33 +0000] "POST /api/user/buy HTTP/1.1" 200 88 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:22:11:16 +0000] "POST /api/user/buy HTTP/1.1" 200 88 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:22:11:34 +0000] "POST /api/user/buy HTTP/1.1" 500 104 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:22:12:04 +0000] "POST /api/user/buy HTTP/1.1" 500 104 "-" "PostmanRuntime/7.30.1"
